, ABT ,105.591, 2023-07-06 00:00:00-04:00 ,113.441, 2023-07-24 00:00:00-04:00 ,7.85007 , 7.43442 ,8.5543e+06,94.2623 , 122 ,12 ,
, FIVE,196.54 , 2023-06-30 00:00:00-04:00 ,208.34 , 2023-07-31 00:00:00-04:00 , 11.8 , 6.00387 ,32695.7 ,93.75 ,32 ,20 ,
, VTR , 46.2548 , 2023-06-29 00:00:00-04:00 , 48.7259 , 2023-07-20 00:00:00-04:00 ,2.47111 , 5.34239 , 701351 ,93.3333 ,75 ,14 ,
, COIN, 70.75 , 2023-06-28 00:00:00-04:00 ,110.15 , 2023-07-19 00:00:00-04:00 , 39.4 ,55.689 , 4921.25, 100, 6 ,14 ,
, BDX ,256.321, 2023-06-27 00:00:00-04:00 ,281.472, 2023-07-27 00:00:00-04:00 , 25.1508, 9.8122,1.04822e+07 ,91.7808 , 146 ,21 ,
, HSIC, 78.9, 2023-06-23 00:00:00-04:00 , 82.07 , 2023-07-13 00:00:00-04:00 ,3.17, 4.01774 , 843163 ,93.3333 ,75 ,13 ,
, WMT , 51.5413 , 2023-06-22 00:00:00-04:00 , 53.5345 , 2023-08-11 00:00:00-04:00 ,1.99317 , 3.86713 ,7.15797e+08 ,92.8571 , 140 ,35 ,
, PYPL, 68.19 , 2023-06-21 00:00:00-04:00 , 75.82 , 2023-07-31 00:00:00-04:00 ,7.63,11.1893,13072.3 , 100,22 ,27 ,
, TD.TO , 78.9784 , 2023-06-19 00:00:00-04:00 , 85.9392 , 2023-07-31 00:00:00-04:00 ,6.96082 , 8.81358 , 138637 ,91.25 ,80 ,29 ,
, HYG , 72.0024 , 2023-06-16 00:00:00-04:00 , 73.0867 , 2023-07-13 00:00:00-04:00 ,1.08425 , 1.50585 , 3226.51,95.7447 ,47 ,17 ,
, DXCM,130.98 , 2023-06-15 00:00:00-04:00 ,137.93 , 2023-07-18 00:00:00-04:00 ,6.95, 5.30615 ,3.49436e+06 ,98.2456 ,57 ,21 ,
, MG.TO , 73.1013 , 2023-06-14 00:00:00-04:00 , 82.9106 , 2023-08-01 00:00:00-04:00 ,9.80923 ,13.4187, 149839 , 100,47 ,33 ,
, BIDU,142.57 , 2023-06-13 00:00:00-04:00 ,155.99 , 2023-07-31 00:00:00-04:00 , 13.42, 9.41292 ,5.18016e+06 ,97.8261 ,46 ,32 ,
, ANET,170, 2023-06-12 00:00:00-04:00 ,197.54 , 2023-09-06 00:00:00-04:00 , 27.54,16.2 ,38196.9 ,96.2963 ,27 ,59 ,
, BBY , 72.4877 , 2023-06-09 00:00:00-04:00 , 82.8275 , 2023-07-25 00:00:00-04:00 , 10.3398,14.2642,1.83132e+11 ,93.6842 ,95 ,30 ,
, FSLY, 16.89 , 2023-06-08 00:00:00-04:00 , 24.1, 2023-09-01 00:00:00-04:00 ,7.21,42.688 ,26868.8 ,92.3077 ,13 ,59 ,
, ROKU, 68.03 , 2023-06-07 00:00:00-04:00 , 97.49 , 2023-08-01 00:00:00-04:00 , 29.46,43.3044,77185.9 ,94.1176 ,17 ,37 ,
, SLG , 23.3988 , 2023-06-06 00:00:00-04:00 , 36.2791 , 2023-08-07 00:00:00-04:00 , 12.8804,55.0472, 377697 ,92.9577 ,71 ,42 ,
, AXP ,165.64 , 2023-06-05 00:00:00-04:00 ,176.74 , 2023-07-18 00:00:00-04:00 , 11.1006, 6.70163 ,1.91585e+08 ,90.5797 , 138 ,29 ,
, SOFI,7.03 , 2023-06-02 00:00:00-04:00 , 11.45 , 2023-07-31 00:00:00-04:00 ,4.42,62.8734, 4133.08, 100, 5 ,39 ,
, CSCO, 48.6332 , 2023-06-01 00:00:00-04:00 , 56.9819 , 2023-09-01 00:00:00-04:00 ,8.34862 ,17.1665,3.84665e+07 ,94.5055 ,91 ,64 ,
, DAL , 36.0668 , 2023-05-31 00:00:00-04:00 , 48.4388 , 2023-07-20 00:00:00-04:00 , 12.372 ,34.303 , 263658 ,92.1569 ,51 ,34 ,
